agent_id,agent_type,o_node_id,d_node_id,o_osm_node_id,d_osm_node_id,o_zone_id,d_zone_id,geometry,departure_time
169,v,72,137,436676529.0,,6,21,"LINESTRING(-109.5609665 37.2870722,-109.5306 37.2846293)",0722
170,v,148,163,,,7,5,"LINESTRING(-109.5527205 37.284306,-109.5697349 37.2837554)",0717
171,v,110,252,3643520175.0,,7,6,"LINESTRING(-109.5519498 37.284387,-109.5591611 37.284811)",0748
172,v,253,58,,83741039.0,7,6,"LINESTRING(-109.5533375 37.283576,-109.5669459 37.283577)",0722
173,v,188,218,,,7,6,"LINESTRING(-109.5473324 37.2872509,-109.5657039 37.2839058)",0748
174,v,157,218,,,7,6,"LINESTRING(-109.5544033 37.2839071,-109.5657039 37.2839058)",0704
175,v,43,38,83721554.0,83713699.0,7,6,"LINESTRING(-109.5553221 37.2856512,-109.5571039 37.2856194)",0716
176,v,167,72,,436676529.0,7,6,"LINESTRING(-109.552902 37.2841229,-109.5609665 37.2870722)",0719
177,v,122,38,6578195588.0,83713699.0,7,6,"LINESTRING(-109.5519334 37.2835771,-109.5571039 37.2856194)",0720
178,v,233,177,,,7,6,"LINESTRING(-109.5530985 37.2841156,-109.5599343 37.2857083)",0714
179,v,226,164,,,7,6,"LINESTRING(-109.5533622 37.2838591,-109.5583507 37.2871624)",0729
180,v,122,72,6578195588.0,436676529.0,7,6,"LINESTRING(-109.5519334 37.2835771,-109.5609665 37.2870722)",0749
181,v,159,164,,,7,6,"LINESTRING(-109.5532719 37.2841136,-109.5583507 37.2871624)",0702
182,v,232,6,,83614585.0,7,6,"LINESTRING(-109.5539955 37.284703,-109.5600255 37.285309)",0714
183,v,244,177,,,7,6,"LINESTRING(-109.5513952 37.2840157,-109.5599343 37.2857083)",0713
184,v,172,177,,,7,6,"LINESTRING(-109.5524528 37.283771,-109.5599343 37.2857083)",0734
185,v,232,75,,1029987721.0,7,6,"LINESTRING(-109.5539955 37.284703,-109.5584587 37.2862383)",0715
186,v,176,24,,83651148.0,7,6,"LINESTRING(-109.5448831 37.2860932,-109.5588494 37.2844233)",0755
187,v,84,169,1330151423.0,,7,6,"LINESTRING(-109.5532679 37.288825,-109.5573399 37.2838146)",0733
188,v,122,218,6578195588.0,,7,6,"LINESTRING(-109.5519334 37.2835771,-109.5657039 37.2839058)",0710
189,v,232,17,,83629512.0,7,6,"LINESTRING(-109.5539955 37.284703,-109.5684056 37.2837785)",0708
190,v,149,72,,436676529.0,7,6,"LINESTRING(-109.5523881 37.2837137,-109.5609665 37.2870722)",0724
191,v,176,250,,,7,6,"LINESTRING(-109.5448831 37.2860932,-109.5594386 37.2851491)",0755
192,v,110,81,3643520175.0,1030045659.0,7,6,"LINESTRING(-109.5519498 37.284387,-109.5652556 37.2883349)",0710
193,v,179,218,,,7,6,"LINESTRING(-109.5528572 37.2835536,-109.5657039 37.2839058)",0737
194,v,216,6,,83614585.0,7,6,"LINESTRING(-109.5451576 37.2862233,-109.5600255 37.285309)",0743
195,v,224,207,,,7,6,"LINESTRING(-109.5469595 37.2869372,-109.5692496 37.2838117)",0735
196,v,244,72,,436676529.0,7,6,"LINESTRING(-109.5513952 37.2840157,-109.5609665 37.2870722)",0715
197,v,153,39,,83713704.0,7,6,"LINESTRING(-109.5511544 37.2837281,-109.5597279 37.2859293)",0754
198,v,217,238,,,7,6,"LINESTRING(-109.5522611 37.2840106,-109.5576561 37.284662)",0741
199,v,122,220,6578195588.0,,7,6,"LINESTRING(-109.5519334 37.2835771,-109.5574885 37.2837023)",0742
200,v,210,81,,1030045659.0,7,6,"LINESTRING(-109.5522484 37.2837838,-109.5652556 37.2883349)",0758
201,v,122,169,6578195588.0,,7,6,"LINESTRING(-109.5519334 37.2835771,-109.5573399 37.2838146)",0752
202,v,8,249,83614591.0,,7,6,"LINESTRING(-109.5520641 37.2869207,-109.5598269 37.2868968)",0722
203,v,215,207,,,7,6,"LINESTRING(-109.5568614 37.2854049,-109.5692496 37.2838117)",0753
204,v,221,207,,,7,6,"LINESTRING(-109.5528575 37.2836181,-109.5692496 37.2838117)",0746
205,v,165,6,,83614585.0,7,6,"LINESTRING(-109.5565946 37.2854171,-109.5600255 37.285309)",0724
206,v,216,152,,,7,6,"LINESTRING(-109.5451576 37.2862233,-109.5574927 37.28401)",0725
207,v,105,58,3634636956.0,83741039.0,7,6,"LINESTRING(-109.5534637 37.2877532,-109.5669459 37.283577)",0752
208,v,226,218,,,7,6,"LINESTRING(-109.5533622 37.2838591,-109.5657039 37.2839058)",0728
209,v,105,156,3634636956.0,,7,6,"LINESTRING(-109.5534637 37.2877532,-109.5576521 37.2845586)",0726
210,v,194,250,,,7,6,"LINESTRING(-109.5533619 37.2837946,-109.5594386 37.2851491)",0721
211,v,233,205,,,7,6,"LINESTRING(-109.5530985 37.2841156,-109.55757 37.2852757)",0744
212,v,217,252,,,7,6,"LINESTRING(-109.5522611 37.2840106,-109.5591611 37.284811)",0756
213,v,43,38,83721554.0,83713699.0,7,6,"LINESTRING(-109.5553221 37.2856512,-109.5571039 37.2856194)",0715
214,v,153,222,,,7,6,"LINESTRING(-109.5511544 37.2837281,-109.5579112 37.2852333)",0726
215,v,244,24,,83651148.0,7,6,"LINESTRING(-109.5513952 37.2840157,-109.5588494 37.2844233)",0745
216,v,155,202,,,7,6,"LINESTRING(-109.552491 37.2840426,-109.5573064 37.2837054)",0743
217,v,153,6,,83614585.0,7,6,"LINESTRING(-109.5511544 37.2837281,-109.5600255 37.285309)",0710
218,v,157,220,,,7,6,"LINESTRING(-109.5544033 37.2839071,-109.5574885 37.2837023)",0743
219,v,155,218,,,7,6,"LINESTRING(-109.552491 37.2840426,-109.5657039 37.2839058)",0757
220,v,178,24,,83651148.0,7,6,"LINESTRING(-109.5540142 37.2838359,-109.5588494 37.2844233)",0741
221,v,153,95,,2447686969.0,7,6,"LINESTRING(-109.5511544 37.2837281,-109.5587983 37.2842327)",0752
222,v,110,151,3643520175.0,,7,6,"LINESTRING(-109.5519498 37.284387,-109.5583103 37.2840083)",0756
223,v,153,174,,,7,6,"LINESTRING(-109.5511544 37.2837281,-109.568227 37.2839252)",0742
224,v,153,23,,83651071.0,7,6,"LINESTRING(-109.5511544 37.2837281,-109.5591938 37.2857107)",0753
225,v,244,88,,1331799412.0,7,6,"LINESTRING(-109.5513952 37.2840157,-109.5570964 37.289252)",0759
226,v,179,180,,,7,8,"LINESTRING(-109.5528572 37.2835536,-109.5419113 37.287715)",0709
