o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
9,C1,16,Gate4,1.693009729177073,"LINESTRING (-109.5724947 37.2811705,-109.5759921 37.2983644)"
9,C1,17,Gate5,1.8803541576483176,"LINESTRING (-109.5724947 37.2811705,-109.5633221 37.2983644)"
9,C1,18,Gate6,2.682225281716528,"LINESTRING (-109.5724947 37.2811705,-109.5506521 37.2983644)"
9,C1,19,Gate7,3.720495135621954,"LINESTRING (-109.5724947 37.2811705,-109.5379821 37.2983644)"
9,C1,20,Gate8,4.680083999693665,"LINESTRING (-109.5724947 37.2811705,-109.525315 37.2924244)"
9,C1,21,Gate9,4.58115017737191,"LINESTRING (-109.5724947 37.2811705,-109.525315 37.2864844)"
9,C1,22,Gate10,4.552767386067884,"LINESTRING (-109.5724947 37.2811705,-109.525315 37.2805444)"
9,C1,23,Gate11,3.3896560095660195,"LINESTRING (-109.5724947 37.2811705,-109.537985 37.2746)"
9,C1,24,Gate12,2.2006136528391798,"LINESTRING (-109.5724947 37.2811705,-109.550655 37.2746)"
9,C1,25,Gate13,1.0884778011290281,"LINESTRING (-109.5724947 37.2811705,-109.563325 37.2746)"
9,C1,26,Gate14,0.7183441282812011,"LINESTRING (-109.5724947 37.2811705,-109.575995 37.2746)"
10,C2,5,B1,0.5354344587674827,"LINESTRING (-109.5646803 37.2815244,-109.5697333 37.2838178)"
10,C2,6,B2,0.5694333092281683,"LINESTRING (-109.5646803 37.2815244,-109.560079 37.2852198)"
10,C2,7,B3,1.23014992492544,"LINESTRING (-109.5646803 37.2815244,-109.5523617 37.2848091)"
10,C2,8,B4,2.2968449354592195,"LINESTRING (-109.5646803 37.2815244,-109.5412776 37.2858769)"
10,C2,9,C1,0.7547833881148028,"LINESTRING (-109.5646803 37.2815244,-109.5724947 37.2811705)"
