agent_id,agent_type,o_node_id,d_node_id,o_osm_node_id,d_osm_node_id,o_zone_id,d_zone_id,geometry,departure_time
823,v,2889,2427,,7806980019.0,19,13,"LINESTRING(-111.9253136 33.4174228,-111.9432735 33.4204639)",0716
824,v,2710,3065,,,19,13,"LINESTRING(-111.9296176 33.4157972,-111.9403085 33.418349)",0747
825,v,2392,634,7241600575.0,4636339231.0,19,13,"LINESTRING(-111.9261289 33.4168242,-111.9384391 33.4205166)",0707
826,v,2798,156,,863736881.0,19,13,"LINESTRING(-111.925469 33.417424,-111.9418437 33.4190521)",0743
827,v,281,2655,2300341839.0,,19,14,"LINESTRING(-111.9264694 33.4168418,-111.9335621 33.4190933)",0710
828,v,2706,2634,,,19,14,"LINESTRING(-111.9300158 33.4150365,-111.9359876 33.4185275)",0711
829,v,2779,2995,,,19,14,"LINESTRING(-111.92699 33.4152591,-111.9318337 33.4204622)",0707
830,v,3031,2939,,,19,15,"LINESTRING(-111.925821 33.415215,-111.9246884 33.4198952)",0719
831,v,3109,2980,,,19,15,"LINESTRING(-111.9260276 33.4169694,-111.9273486 33.4199901)",0709
832,v,2775,2814,,,19,16,"LINESTRING(-111.9281519 33.4162596,-111.9226 33.418994)",0715
833,v,2053,108,5665906155.0,317654988.0,19,16,"LINESTRING(-111.9257825 33.4168186,-111.9205552 33.4187226)",0731
834,v,2885,549,,4181518760.0,19,17,"LINESTRING(-111.9257357 33.4157085,-111.9448136 33.4160691)",0750
835,v,2833,149,,863733752.0,19,17,"LINESTRING(-111.9269102 33.4176722,-111.9405834 33.4162013)",0734
836,v,288,550,2305974515.0,4181518769.0,19,17,"LINESTRING(-111.9279378 33.4166216,-111.9448138 33.4168241)",0730
837,v,2653,549,,4181518760.0,19,17,"LINESTRING(-111.9272285 33.417669,-111.9448136 33.4160691)",0743
838,v,3106,2617,,,19,17,"LINESTRING(-111.9250724 33.4162701,-111.9390415 33.4180478)",0759
839,v,656,1157,4716137951.0,5264800471.0,19,18,"LINESTRING(-111.9301745 33.4173982,-111.9334577 33.4173564)",0713
840,v,281,245,2300341839.0,1698683809.0,19,18,"LINESTRING(-111.9264694 33.4168418,-111.9366529 33.4173851)",0758
841,v,2653,1150,,5264800457.0,19,18,"LINESTRING(-111.9272285 33.417669,-111.9337435 33.4173789)",0742
842,v,1938,655,5646687226.0,4716137948.0,19,18,"LINESTRING(-111.925416 33.4168125,-111.9313904 33.4174105)",0732
843,v,2341,1150,7121950852.0,5264800457.0,19,18,"LINESTRING(-111.9271412 33.416699,-111.9337435 33.4173789)",0720
844,v,2833,3026,,,19,20,"LINESTRING(-111.9269102 33.4176722,-111.9218751 33.4157992)",0736
845,v,2796,39,,41606179.0,19,20,"LINESTRING(-111.9257678 33.4176174,-111.922468 33.4167526)",0702
846,v,78,1945,316008065.0,5646687246.0,19,20,"LINESTRING(-111.9271917 33.4166831,-111.9226683 33.4167589)",0732
847,v,2823,664,,5047020520.0,19,20,"LINESTRING(-111.9266252 33.4156318,-111.9206612 33.4167133)",0758
848,v,656,2588,4716137951.0,,19,23,"LINESTRING(-111.9301745 33.4173982,-111.945 33.4223883)",0707
849,v,2778,1647,,5345624048.0,19,26,"LINESTRING(-111.9276634 33.4151139,-111.9384895 33.4247263)",0725
850,v,1938,1074,5646687226.0,5264800187.0,19,27,"LINESTRING(-111.925416 33.4168125,-111.933992 33.4260933)",0755
851,v,2652,2546,,,19,28,"LINESTRING(-111.9294615 33.4178075,-111.9261499 33.4302)",0711
852,v,2882,2582,,,19,30,"LINESTRING(-111.9259025 33.4162933,-111.9180917 33.4302)",0708
853,v,34,2114,41573980.0,5687228379.0,19,32,"LINESTRING(-111.9263074 33.4168484,-111.9236774 33.4227103)",0757
854,v,34,1771,41573980.0,5415266957.0,19,36,"LINESTRING(-111.9263074 33.4168484,-111.9277693 33.4156657)",0755
855,v,2800,1645,,5343250041.0,19,37,"LINESTRING(-111.9251064 33.4171633,-111.9317729 33.4213707)",0756
856,v,2710,1893,,5415707827.0,19,38,"LINESTRING(-111.9296176 33.4157972,-111.9392528 33.415215)",0743
857,v,1953,1923,5646687263.0,5634899228.0,20,1,"LINESTRING(-111.9205773 33.4173248,-111.9449232 33.4294451)",0756
858,v,2010,2862,5657585116.0,,20,1,"LINESTRING(-111.9183574 33.4166779,-111.9416895 33.4280571)",0747
859,v,3101,3050,,,20,5,"LINESTRING(-111.9193216 33.4161007,-111.9432661 33.4273883)",0708
860,v,672,2934,5047020642.0,,20,5,"LINESTRING(-111.9214566 33.4167294,-111.9403808 33.426002)",0711
861,v,3024,2792,,,20,5,"LINESTRING(-111.9224882 33.415333,-111.9403503 33.4248897)",0715
862,v,3101,3067,,,20,5,"LINESTRING(-111.9193216 33.4161007,-111.9386383 33.4263144)",0723
863,v,672,2981,5047020642.0,,20,6,"LINESTRING(-111.9214566 33.4167294,-111.9366946 33.4259464)",0741
864,v,3026,2909,,,20,7,"LINESTRING(-111.9218751 33.4157992,-111.9296996 33.425032)",0739
865,v,3101,706,,5258562212.0,20,9,"LINESTRING(-111.9193216 33.4161007,-111.9426821 33.4242671)",0709
866,v,1951,3078,5646687258.0,,20,9,"LINESTRING(-111.9216828 33.416734,-111.9398638 33.4225313)",0741
867,v,3027,2750,,,20,9,"LINESTRING(-111.9224856 33.4162517,-111.9431241 33.4232121)",0731
868,v,3022,2744,,,20,9,"LINESTRING(-111.9199348 33.415295,-111.9414584 33.4230064)",0719
869,v,3033,3053,,,20,9,"LINESTRING(-111.9243043 33.4153462,-111.9409164 33.4214064)",0743
870,v,2866,3094,,,20,10,"LINESTRING(-111.9192531 33.4152632,-111.9335408 33.422499)",0715
871,v,3100,3096,,,20,10,"LINESTRING(-111.9228429 33.4162795,-111.9355278 33.4222795)",0741
872,v,1950,2947,5646687257.0,,20,10,"LINESTRING(-111.9205749 33.4174822,-111.9331929 33.4223693)",0711
873,v,1953,2914,5646687263.0,,20,10,"LINESTRING(-111.9205773 33.4173248,-111.9368756 33.4235196)",0713
874,v,3105,2628,,,20,10,"LINESTRING(-111.924058 33.4163172,-111.9370509 33.4215473)",0716
875,v,1934,63,5646687221.0,41957870.0,20,10,"LINESTRING(-111.9232733 33.4167758,-111.9366746 33.4232058)",0751
876,v,672,3011,5047020642.0,,20,10,"LINESTRING(-111.9214566 33.4167294,-111.9323541 33.4229788)",0706
877,v,44,2787,41654678.0,,20,11,"LINESTRING(-111.920587 33.4167118,-111.9258498 33.4235805)",0736
878,v,44,3012,41654678.0,,20,12,"LINESTRING(-111.920587 33.4167118,-111.9185106 33.422457)",0704
879,v,3024,775,,5260201459.0,20,12,"LINESTRING(-111.9224882 33.415333,-111.9228975 33.4230536)",0727
880,v,3100,2127,,5698353544.0,20,13,"LINESTRING(-111.9228429 33.4162795,-111.9442451 33.4187505)",0743
881,v,1945,3001,5646687246.0,,20,13,"LINESTRING(-111.9226683 33.4167589,-111.9402508 33.4193883)",0735
882,v,1958,2233,5646687269.0,6700916752.0,20,13,"LINESTRING(-111.9191975 33.416689,-111.9404614 33.4190531)",0748
883,v,3022,2758,,,20,13,"LINESTRING(-111.9199348 33.415295,-111.9390348 33.4197351)",0724
884,v,3022,2619,,,20,13,"LINESTRING(-111.9199348 33.415295,-111.9393999 33.4194169)",0726
885,v,1954,272,5646687264.0,2239876799.0,20,13,"LINESTRING(-111.9199436 33.4167013,-111.9398053 33.4190582)",0756
