name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,3526,546389668,388,1407,1,258.8483633345303,1,29,,service,7,"LINESTRING (-111.9236237 33.4283392, -111.9229619 33.4283051, -111.9226345 33.4281015, -111.9225661 33.4281678, -111.9224791 33.4282521, -111.9228666 33.4285058, -111.9236017 33.4287163, -111.923802 33.4286633)",bike;walk,1
,3527,546389668,1407,388,1,258.84836333453023,1,29,,service,7,"LINESTRING (-111.923802 33.4286633, -111.9236017 33.4287163, -111.9228666 33.4285058, -111.9224791 33.4282521, -111.9225661 33.4281678, -111.9226345 33.4281015, -111.9229619 33.4283051, -111.9236237 33.4283392)",bike;walk,1
,3528,546443708,1351,1406,1,458.70427085462796,1,4,,footway,9,"LINESTRING (-111.926132 33.4245799, -111.9261357 33.4286612, -111.9261011 33.4286943)",walk,0
,3529,546627082,132,1408,1,14.763975247291981,1,9,,cycleway,8,"LINESTRING (-111.9276328 33.4301131, -111.9276578 33.4300986, -111.927674 33.4300887, -111.9276808 33.4300791, -111.9276846 33.4300695, -111.9276863 33.4300542, -111.9276808 33.4300433, -111.9276706 33.4300291, -111.9276481 33.4300117)",bike;walk,0
,3530,546627083,1383,1409,1,245.4273885018999,1,4,,footway,9,"LINESTRING (-111.926548 33.4289902, -111.926567 33.4289817, -111.9265941 33.4289812, -111.9266551 33.4289963, -111.926738 33.4290147, -111.9267815 33.4290274, -111.9274516 33.429058, -111.9275571 33.4290599, -111.9276768 33.4290585, -111.9277688 33.42905, -111.9278557 33.4290392, -111.928344 33.4289784, -111.9287137 33.4289256, -111.9289926 33.4288936, -111.9290609 33.4288861, -111.9290919 33.4288856, -111.9291631 33.4289011)",walk,0
,3531,546627083,1409,439,1,12.502985003856654,1,4,,footway,9,"LINESTRING (-111.9291631 33.4289011, -111.9291448 33.4287897)",walk,0
,3532,546627083,439,1410,1,13.4065913701302,1,4,,footway,9,"LINESTRING (-111.9291448 33.4287897, -111.9291239 33.4286704)",walk,0
,3533,546627083,1410,1411,1,7.388928763790318,1,4,,footway,9,"LINESTRING (-111.9291239 33.4286704, -111.9291098 33.428605)",walk,0
,3534,548632511,851,1488,1,16.844746937840583,1,4,,footway,9,"LINESTRING (-111.933769 33.422824, -111.9337933 33.4227934, -111.9338729 33.4227793, -111.933929 33.4227774)",walk,0
,3535,548632511,1488,1412,1,5.95268467645732,1,4,,footway,9,"LINESTRING (-111.933929 33.4227774, -111.9339464 33.4227768, -111.9339931 33.4227755)",walk,0
,3536,548632511,1412,1413,1,31.8996861810934,1,4,,footway,9,"LINESTRING (-111.9339931 33.4227755, -111.9340398 33.4227755, -111.9340414 33.4225276)",walk,0
,3537,548632511,1413,1414,1,78.17759361834207,1,4,,footway,9,"LINESTRING (-111.9340414 33.4225276, -111.9348836 33.4225135)",walk,0
,3538,548632511,1414,1415,1,47.92359262003491,1,4,,footway,9,"LINESTRING (-111.9348836 33.4225135, -111.934881 33.4222363, -111.9348616 33.4221234, -111.9348459 33.4220859)",walk,0
,3539,548632511,1415,1089,1,3.137122152930024,1,4,,footway,9,"LINESTRING (-111.9348459 33.4220859, -111.9348365 33.4220588)",walk,0
,3540,548632512,1413,1416,1,50.982942288653454,1,4,,footway,9,"LINESTRING (-111.9340414 33.4225276, -111.9340405 33.4220691)",walk,0
,3541,548632513,851,1422,1,68.68330612479984,1,4,,footway,9,"LINESTRING (-111.933769 33.422824, -111.9337486 33.4228819, -111.9337608 33.4234286, -111.9337572 33.4234387)",walk,0
,3542,548632513,1422,1417,1,6.137476683535656,1,4,,footway,9,"LINESTRING (-111.9337572 33.4234387, -111.9337486 33.423462, -111.9337243 33.4234852)",walk,0
,3543,548632514,1417,885,1,5.325018666211448,1,4,,footway,9,"LINESTRING (-111.9337243 33.4234852, -111.9337028 33.4235296)",walk,0
